filename,english,german
alpaca.svg,Alpaca,Alpaka
antelope.svg,Antelope,Antilope
armadillo.svg,Armadillo,Gürteltier
badger.svg,Badger,Dachs
bat.svg,Bat,Fledermaus
bear.svg,Bear,Bär
bee.svg,Bee,Biene
beetle.svg,Beetle,Käfer
bird.svg,Bird,Vogel
bison.svg,Bison,Bison
boar.svg,Boar,Wildschwein
butterfly-fish.svg,Butterflyfish,Falterfisch
butterfly.svg,Butterfly,Schmetterling
camel.svg,Camel,Kamel
cat.svg,Cat,Katze
cheetah.svg,Cheetah,Gepard
clam.svg,Clam,Muschel
coati.svg,Coati,Nasenbär
coral.svg,Coral,Koralle
cow.svg,Cow,Kuh
crab.svg,Crab,Krabbe
crocodile.svg,Crocodile,Krokodil
crow.svg,Crow,Krähe
deer.svg,Deer,Hirsch
dog.svg,Dog,Hund
dolphin.svg,Dolphin,Delfin
donkey.svg,Donkey,Esel
duck.svg,Duck,Ente
eel.svg,Eel,Aal
elephant.svg,Elephant,Elefant
ermine.svg,Ermine,Hermelin
fennec.svg,Fennec,Fennek
fish.svg,Fish,Fisch
flamingo.svg,Flamingo,Flamingo
flying-fish.svg,Flying Fish,Fliegender Fisch
fox.svg,Fox,Fuchs
frog.svg,Frog,Frosch
giraffe.svg,Giraffe,Giraffe
goat.svg,Goat,Ziege
goldfish.svg,Goldfish,Goldfisch
gorilla.svg,Gorilla,Gorilla
hamster.svg,Hamster,Hamster
hedgehog.svg,Hedgehog,Igel
hen.svg,Hen,Huhn
hippopotamus.svg,Hippopotamus,Nilpferd
horse.svg,Horse,Pferd
hummingbird.svg,Hummingbird,Kolibri
hyena.svg,Hyena,Hyäne
jellyfish.svg,Jellyfish,Qualle
kangaroo.svg,Kangaroo,Känguru
kiwi.svg,Kiwi,Kiwi
koala.svg,Koala,Koala
lemur.svg,Lemur,Lemur
lion.svg,Lion,Löwe
lizard.svg,Lizard,Eidechse
manta-ray.svg,Manta Ray,Mantarochen
mole.svg,Mole,Maulwurf
monkey.svg,Monkey,Affe
moose.svg,Moose,Elch
mussel.svg,Mussel,Miesmuschel
octopus.svg,Octopus,Krake
ostrich.svg,Ostrich,Strauß
otter.svg,Otter,Otter
owl.svg,Owl,Eule
panda.svg,Panda,Panda
panther.svg,Panther,Panther
parrot.svg,Parrot,Papagei
penguin.svg,Penguin,Pinguin
pig.svg,Pig,Schwein
polar-bear.svg,Polar Bear,Eisbär
porcupine.svg,Porcupine,Stachelschwein
puffer-fish.svg,Pufferfish,Kugelfisch
rabbit.svg,Rabbit,Kaninchen
raccoon.svg,Raccoon,Waschbär
rat.svg,Rat,Ratte
red-panda.svg,Red Panda,Roter Panda
rhinoceros.svg,Rhinoceros,Nashorn
salamander.svg,Salamander,Salamander
scorpion.svg,Scorpion,Skorpion
sea-lion.svg,Sea Lion,Seelöwe
sheep.svg,Sheep,Schaf
shrew.svg,Shrew,Spitzmaus
skunk.svg,Skunk,Stinktier
snail.svg,Snail,Schnecke
snake.svg,Snake,Schlange
spider.svg,Spider,Spinne
squirrel.svg,Squirrel,Eichhörnchen
starfish.svg,Starfish,Seestern
tarsier.svg,Tarsier,Koboldmaki
tiger.svg,Tiger,Tiger
toad.svg,Toad,Kröte
toucan.svg,Toucan,Tukan
turtle.svg,Turtle,Schildkröte
walrus.svg,Walrus,Walross
weasel.svg,Weasel,Wiesel
whale.svg,Whale,Wal
wolf.svg,Wolf,Wolf
wolverine.svg,Wolverine,Vielfraß
zebra.svg,Zebra,Zebra
asparagus.svg,Asparagus,Spargel
banana.svg,Banana,Banane
beet.svg,Beet,Rote Bete
bread.svg,Bread,Brot
cabbage.svg,Cabbage,Kohl
cheese.svg,Cheese,Käse
cherry.svg,Cherry,Kirsche
cookies.svg,Cookies,Kekse
corn.svg,Corn,Mais
cucumber.svg,Cucumber,Gurke
cupcake.svg,Cupcake,Törtchen
eggs.svg,Eggs,Eier
garlic.svg,Garlic,Knoblauch
kiwi-fruit.svg,Kiwi,Kiwi
melon.svg,Melon,Melone
milk.svg,Milk,Milch
nachos.svg,Nachos,Nachos
pancake.svg,Pancake,Pfannkuchen
pear.svg,Pear,Birne
peas.svg,Peas,Erbsen
pineapple.svg,Pineapple,Ananas
pizza.svg,Pizza,Pizza
plum.svg,Plum,Pflaume
pomegranate.svg,Pomegranate,Granatapfel
potato.svg,Potato,Kartoffel
pretzel.svg,Pretzel,Brezel
radish.svg,Radish,Radieschen
raspberry.svg,Raspberry,Himbeere
steak.svg,Steak,Steak
strawberry.svg,Strawberry,Erdbeere
tomato.svg,Tomato,Tomate
watermelon.svg,Watermelon,Wassermelone
